ItemID;ICCa;ICCb;ICCc;ICCd
CS01;1;0;0;1
CS02;1;1,470023585;0;1
CS03;1;-0,770055231;0;1
CS04;1;0,259178067;0;1
CS05;1;-0,460968583;0;1
CS06;1;-0,741559135;0;1
CS07;1;0,177493095;0;1
CS08;1;0,600321442;0;1
CS09;1;0,027640453;0;1
CS10;1;-0,640923064;0;1
CS11;1;-0,047611077;0;1
CS12;1;2,233588452;0;1
CS13;1;-0,084237382;0;1
CS14;1;-2,116242719;0;1
CS15;1;-1,050654733;0;1
CS16;1;0,533188547;0;1
CS17;1;-0,128911377;0;1
CS18;1;0,076487755;0;1
CS19;1;-0,462881598;0;1
CS20;1;-0,921180619;0;1
CS21;1;1,843172139;0;1
CS22;1;-0,695942405;0;1
CS23;1;1,929342191;0;1
CS24;1;1,954099706;0;1
CS25;1;2,659682524;0;1
CS26;1;-0,819864101;0;1
CS27;1;-1,014864131;0;1
CS28;1;-0,372358572;0;1
CS29;1;1,180365177;0;1
CS30;1;-1,596049703;0;1
CS31;1;-0,775807193;0;1
CS32;1;-0,67239132;0;1
BL01;1;0;0;1
BL02;1;0,890562981;0;1
BL03;1;-0,02245725;0;1
BL04;1;0,399395125;0;1
BL05;1;0,676897212;0;1
BL06;1;-0,370439238;0;1
BL07;1;-0,16106539;0;1
BL08;1;0,44853341;0;1
BL09;1;0,206878327;0;1
BL10;1;0,027555361;0;1
BL11;1;-0,063293296;0;1
BL12;1;0,257646428;0;1
BL13;1;-0,680053114;0;1
BL14;1;-0,010238586;0;1
BL15;1;-0,128732193;0;1
BL16;1;-0,507425633;0;1
BL17;1;-0,14115536;0;1
BL18;1;-0,340136481;0;1
BL19;1;-0,358722916;0;1
BL20;1;0,110395884;0;1
BL21;1;-0,087820853;0;1
BL22;1;0,540438602;0;1
BL23;1;0,096018728;0;1
BL24;1;-0,220208226;0;1
BL25;1;-0,532302931;0;1
BL26;1;-0,050214565;0;1
BL27;1;0,091540896;0;1
BL28;1;0,252980481;0;1
BL29;1;-0,28148215;0;1
BL30;1;0,654626051;0;1
BL31;1;-0,56519706;0;1
BL32;1;0,377880839;0;1
